abound abonder
beautifullly magnifiquement
beautifully magnifiquement
beautify embellir
beauty beauté
believable croyable
believeable crédible
beloved bien-aimé
benefactor bienfaiteur
beneficent bienfaisant
beneficial bénéfique
beneficially avantageusement
beneficiary Bénéficiaire
benefit avantage
benefits avantages
benevolence bienveillance
benevolent bienveillant
benifits avantages
best meilleur
better meilleur
beutifully magnifiquement
blameless irréprochable
bless bénir
blessing bénédiction
bliss félicité
blissful bienheureux
blissfully heureusement
blithe joyeux
blockbuster superproduction
bloom Floraison
blossom fleur
bolster traversin
bonny bonny
bonus bonus
bonuses bonus
boom boom
boost renforcer
bountiful généreux
brainy intelligent
brave courageux
bravery bravoure
bravo bravo
breakthrough percée
breakthroughs percées
breathlessness essoufflement
breathtaking Stupéfiant
breeze brise
bright brillant
brighten éclairer
brilliance éclat
brilliances brillances
brilliant brillant
brilliantly brillamment
brisk rapide
brotherly fraternel
bullish haussier
buoyant flottable
cajole cajoler
calm calme
calming calmant
calmness calme
capability aptitude
capable capable
capably habilement
captivate captiver
captivating captivant
carefree insouciant
cashbacks remboursements
catchy entraînant
celebrate célébrer
celebrated célèbre
celebration fête
champ champ
champion champion
charisma charisme
charismatic charismatique
charitable charitable
charm charme
charming charmant
charmingly charmant
chaste chaste
cheer acclamation
cheery gai
cherish chérir
cherished chéri
cherub chérubin
chic chic
chivalrous chevaleresque
chivalry chevalerie
civility civilité
civilize civiliser
clarity clarté
classic classique
classy chic
clean nettoyer
cleaner nettoyeur
cleanliness propreté
cleanly propre
clear clair
clear-cut clair
cleared effacé
clearly clairement
clears efface
clever intelligent
cleverly habilement
cohere adhérer
coherent cohérent
cohesive cohésif
colorful coloré
comely belle
comfort confort
comfortable confortable
comfortably confortablement
comforting réconfortant
comfy confortable
commend saluer
commendable louable
commendably louable
commitment engagement
commodious spacieux
compact compact
compassion compassion
compassionate compatissant
compatible compatible
competitive compétitif
complement complément
complementary complémentaire
complemented complété
complements compléments
compliant conforme
compliment compliment
complimentary complémentaire
comprehensive complet
conciliate concilier
conciliatory conciliatoire
concise concis
confidence confiance
congenial agréable
congratulate féliciter
congratulation félicitation
conscientious consciencieux
considerate considéré
consistent cohérent
consistently régulièrement
constructive constructive
consummate consommé
contentment contentement
continuity continuité
contrasty contrasté
contribution contribution
convenience commodité
convenient pratique
conveniently commodément
convience convience
convienient pratique
convient convient
convincing convaincant
cool cool
cooperative coopérative
correct correct
correctly correctement
cost-effective rentable
counter-attack contre-attaque
courage courage
courageous courageux
courageously courageusement
courageousness courageousness
courteous courtois
courtly courtois
covenant engagement
cozy confortable
creative Créatif
credence foi
credible crédible
crisp croustillant
cure cure
cure-all panacée
cushy pépère
cute mignonne
cuteness gentillesse
danke merci
danken merci
daring audacieux
darling chéri
dashing fringant
dauntless intrépide
dawn Aube
dazzle éblouir
dazzled ébloui
dazzling éblouissant
effusively effusivement
effusiveness effusion
elan annonce
elate Viens
elated ravi
elatedly ravi
elation allégresse
electrify électrifier
elegance élégance
elegant élégant
elegantly élégamment
elevate élever
elite élite
eloquence éloquence
eloquent éloquent
embolden enhardir
eminence éminence
eminent éminent
empathy empathie
empower habiliter
empowerment l'autonomisation
enchant enchanter
enchanted enchanté
enchanting enchanteur
enchantingly enchantement
encourage encourager
encouragement encouragement
encouraging encourageant
encouragingly encourageant
endearing attachant
endorse endosser
endorsed approuvé
endorsement approbation
endorses approuve
endorsing endossant
energetic énergique
energize dynamiser
engaging engageant
engrossing captivant
enhance améliorer
enhanced renforcée
enhancement renforcement
enhances améliore
enjoyable agréable
enjoyably agréablement
enjoyed apprécié
enjoyment jouissance
enjoys jouit
enlighten éclairer
enlightenment éclaircissement
enliven animer
ennoble ennoblir
enough assez
enrapt ravir
enrapture ravir
enraptured ravi
enrich enrichir
enrichment enrichissement
enterprising entreprenant
entertain divertir
entertaining divertissant
entertains divertit
enthral captiver
enthrall captiver
enthralled passionné
enthuse enthousiasmer
enthusiasm enthousiasme
enthusiast passionné
enthusiastic enthousiaste
entice attirer
enticed attiré
enticing séduisant
enticingly alléchant
entranced enchanté
entrancing ravissant
entrust confier
enviable enviable
enviably enviable
envious envieux
enviousness envie
envy envie
equitable équitable
ergonomical ergonomique
erudite érudit
ethical éthique
euphoria euphorie
euphoric euphorique
euphorically euphoriquement
evaluative évaluatif
evenly uniformément
eventful mouvementé
everlasting éternel
evocative évocateur
exalt exalter
exaltation exaltation
exalted exalté
exaltedly exaltedly
exalting exaltant
exaltingly exaltant
examplar exemple
examplary exemple
excallent excellent
exceed dépasser
exceeded dépassé
exceeding dépassement
exceedingly extrêmement
exceeds dépasse
excel exceller
exceled excelé
excelent excellent
excellant excellent
excelled excellé
excellence excellence
excellency Excellence
excellent excellent
excellently parfaitement
excels excelle
exceptional exceptionnel
excite excite
excited excité
excitedness excitation
excitement excitation
excites excite
exciting passionnant
excitingly passionnément
exellent exellent
exemplar copie
exemplary exemplaire
exhilarate exaltant
exhilarating exaltant
exhilaratingly exaltant
exhilaration euphorie
exonerate disculper
expansive expansif
expeditiously rapidement
exquisite exquis
exquisitely délicieusement
extol prôner
extoll prôner
extraordinarily extraordinairement
extraordinary extraordinaire
exuberance exubérance
exuberant exubérant
exuberantly exubérément
exult exulter
exultant danse
exultation exultation
exultingly exultant
eye-catching accrocheur
eyecatching accrocheur
fabulous fabuleux
fabulously fabuleusement
facilitate faciliter
fair juste
fairly équitablement
fairness justice
faith Foi
faithful fidèle
faithfully fidèlement
faithfulness fidélité
fame célébrité
famed célèbre
famous célèbre
famously fameusement
fancier colombophile
fancinating fascinant
fancy fantaisie
fanfare fanfare
fans fans
fantastic fantastique
fantastically fantastiquement
fascinate fasciner
fascinating fascinant
fascinatingly fascinant
fascination fascination
fast vite
fast-paced rapide
faultless irréprochable
fav fav
fave fave
favor faveur
favorable favorable
favored favorisé
favorite préféré
favorited favorisé
favour favoriser
feasible réalisable
feasibly faisable
feat exploit
fecilitous heureux
feisty courageux
felicitous heureux
felicity félicité
fertile fertile
fervent fervent
fervid fervent
fervor ferveur
festive festive
fidelity fidélité
fiery ardent
fine bien
fine-looking beau
finely finement
flashy flashy
flatter flatter
flattering flatteur
flatteringly flatteur
flexible flexible
flourish fleurir
flourishing florissant
fluent courant
flutter battement
fond fond
fondly affectueusement
fondness penchant
foolproof infaillible
foresight prévoyance
formidable formidable
fortitude courage
fortuitous fortuit
fortuitously fortuitement
fortunate chanceux
fortunately Heureusement
fortune fortune
fragrant parfumé
free libre
freed libéré
freedom liberté
fresh Frais
friendly amical
frolic gambader
frugal frugal
fruitful fructueux
ftw ftw
fulfillment accomplissement
fun amusement
futurestic futuriste
futuristic futuriste
gaiety gaieté
gaily gaiement
gain Gain
gained gagné
gainful rentable
gaining gagner
gains gains
gallant galant
gallantly galamment
galore abondance
geekier geekier
geeky geek
gem gemme
generous généreuse
generously généreusement
genial brillant
genius génie
gentle doux
genuine véritable
gifted doué
gladden réjouir
gladly volontier
gladness joie
glamorous glamour
glee glee
gleeful joyeux
gleefully joyeusement
glimmer lueur
glimmering scintillant
glisten luire
glistening brillant
glitter briller
glitz paillettes
glorify glorifier
glorious glorieux
gloriously glorieusement
glory gloire
glow lueur
glowing embrasé
godlike divin
gold or
golden d'or
good bien
goodly beau
goood goood
gooood gooood
gorgeous magnifique
gorgeously magnifiquement
grace grace
graceful gracieux
gracefully gracieusement
gracious gracieux
graciously gracieusement
graciousness grâce
grand grand
grandeur grandeur
grateful reconnaissant
gratification gratification
gratified gratifié
gratifies gratifie
gratify satisfaire
gratifying gratifiant
gratifyingly gratifiant
gratitude gratitude
great génial
greatness grandeur
grin sourire
groundbreaking révolutionnaire
guarantee garantie
guidance orientation
guiltless innocent
gumption jugeote
gush jet
gusto comme
gutsy courageux
hail saluer
halcyon alcyon
hale Statut
hallmark marque
hallmarks poinçons
hallowed sanctifié
handily facilement
handsome Beau
handsomely élégamment
handy pratique
happily Heureusement
happiness bonheur
happy heureux
hard-working travailleur
hardy robuste
harmless inoffensif
harmonious harmonieux
harmoniously harmonieusement
harmonize harmoniser
harmony harmonie
headway avance
heal guérir
healthful salubre
hearten encourager
heartening encourageant
heartfelt sincère
heartily chaleureusement
heartwarming réconfortant
heaven paradis
heavenly céleste
helped aidé
helpful utile
helping portion
hero héros
heroic héroïque
heroically héroïquement
heroine héroïne
heroize héroïser
heros heros
hilarious hilarant
holy saint
homage hommage
honest honnête
honesty honnêteté
honor honneur
honorable honorable
honored honoré
honoring honorant
hooray hourra
hopeful optimiste
hospitable hospitalier
hot chaud
hug étreinte
humane humain
humble humble
humility humilité
humor humour
humorous humoristique
humour humour
humourous humoristique
ideal idéal
idealize idéaliser
ideally idéalement
idol idole
idolize idolâtrer
idolized idolâtré
idyllic idyllique
illuminate éclairer
illuminati illuminati
illuminating éclairant
illumine illumine
illustrious illustre
imaculate immaculé
imaginative imaginatif
immaculate immaculé
immaculately parfaitement
immense immense
impartial impartial
impartiality impartialité
impartially impartialement
impassioned passionné
impeccable impeccable
impeccably impeccablement
important important
impress impressionner
impressed impressionné
impresses impressionne
impressive impressionnant
impressively impressionnant
impressiveness impressionnant
improve améliorer
improved amélioré
improvement amélioration
improves améliore
improving l'amélioration
incredible incroyable
incredibly incroyablement
indebted endetté
individualized individualisé
indulgence indulgence
indulgent indulgent
industrious industrieux
inestimable inestimable
inestimably inestimable
infallibility infaillibilité
infallible infaillible
infallibly infailliblement
influential influent
ingenious ingénieux
ingeniously ingénieusement
ingenuity ingéniosité
ingenuous ingénu
ingenuously ingénument
innocuous inoffensif
innovation innovation
innovative innovant
inpressed impressionné
insightful perspicace
lovely charmant
lover amoureux
loving aimant
loyal fidèle
loyalty fidélité
lucid lucide
lucidly lucidement
luckiness chance
lucky chanceux
lucrative lucratif
luminous lumineux
lush luxuriant
luster lustre
lustrous brillant
luxuriant luxuriant
luxurious luxueux
luxuriously luxueusement
luxury luxe
lyrical lyrique
magical magique
magnanimous magnanime
magnanimously magnanime
magnificence magnificence
magnificent magnifique
magnificently superbement
majestic majestueux
majesty majesté
manageable maniable
maneuverable maniable
marvel merveille
marveled émerveillé
marvelled émerveillé
marvellous merveilleux
marvelous merveilleux
marvelously merveilleusement
marvelousness merveille
marvels merveilles
master maîtriser
masterful magistral
masterfully magistralement
masterpiece chef-d'oeuvre
masterpieces chefs-d'œuvre
masters maîtrise
matchless incomparable
mature mature
maturity maturité
meaningful significatif
memorable mémorable
merciful miséricordieux
mercifully heureusement
mercy pitié
merit mérite
meritorious méritoire
merrily joyeusement
merriment gaieté
merry joyeux
mesmerize hypnotiser
mesmerized hypnotisé
mesmerizes hypnotise
mesmerizing hypnotisant
mesmerizingly hypnotisant
meticulous méticuleux
meticulously méticuleusement
mightily puissamment
mighty puissant
mind-blowing hallucinant
miracle miracle
miracles miracles
miraculous miraculeux
miraculously miraculeusement
miraculousness miraculeux
modern moderne
modest modeste
modesty modestie
momentous important
monumental monumental
monumentally monumentalement
morality moralité
motivated motivée
multi-purpose polyvalent
navigable navigable
neat soigné
neatly soigneusement
nice agréable
nicely bien
nifty chouette
nimble agile
noble noble
nobly noblement
non-violence non-violence
non-violent non-violent
notably notamment
noteworthy remarquable
nourish nourrir
nourishing nourrissant
nourishment nourriture
novelty nouveauté
nurturing nourrir
oasis oasis
obsession obsession
obsessions obsessions
openly ouvertement
openness ouverture
optimal optimal
optimism optimisme
optimistic optimiste
opulent opulent
orderly ordonné
originality originalité
outdo surpasser
outperform surpasser
outperformed surperformé
outperforming surperformant
outperforms surperforme
outshine éclipser
outshone briller
outsmart déjouer
outstanding exceptionnel
outstandingly remarquablement
outstrip dépasser
ovation ovation
overtake dépasser
overtaken dépassé
overtaking dépassement
overtook dépassé
overture ouverture
palatial grandiose
pamper dorloter
pampered choyé
pamperedly choyé
pamperedness chouchouter
pampers Pampers
panoramic panoramique
paradise paradis
paramount primordial
pardon pardon
passion passion
passionate passionné
passionately passionnément
patience patience
patient patient
patiently patiemment
patriot patriote
patriotic patriotique
peace paix
peaceable paisible
peaceful paisible
peacefully pacifiquement
peach pêche
pep dynamisme
pepped peppé
pepping pepping
peppy énergique
peps peps
perfect parfait
perfection perfection
permissible permis
perseverance persévérance
persevere persévérer
personages personnages
personalized personnalisé
phenomenal phénoménal
phenomenally phénoménalement
picturesque pittoresque
piety piété
pinnacle sommet
playful espiègle
pleasant agréable
pleasantly agréablement
pleased heureux
pleasing plaisant
pleasingly agréablement
pleasurable agréable
pleasurably agréablement
pleasure plaisir
plentiful copieux
plush peluche
poetic poétique
poeticize poétiser
poignant poignant
poise équilibre
poised prêt
polished brillant
polite poli
politeness politesse
popular populaire
portable portable
posh chic
positive positif
positively positivement
positives positives
powerful puissant
powerfully puissamment
praise louange
praiseworthy louable
praising louant
pre-eminent prééminent
precious précieux
precise précis
precisely précisément
preeminent prééminent
prefer préférer
preferable préférable
prefered préféré
preferred préféré
preferes preferes
preferring préférant
prefers préfère
premier premier
prestige prestige
prestigious prestigieux
prettily joliment
pretty joli
priceless inestimable
pride fierté
privilege privilège
privileged privilégié
prize prix
proactive proactive
prodigious prodigieux
prodigiously prodigieusement
prodigy prodige
productive productif
proficient compétent
proficiently habilement
profound profond
profoundly profondément
profuse abondant
profusion profusion
progressive progressive
prolific prolifique
prominence importance
prominent important
promise promettre
promised promis
promises promesses
promising prometteur
promoter promoteur
prompt rapide
promptly rapidement
proper correct
properly correctement
propitious propice
propitiously proprement
pros avantages
prosper prosper
prosperous prospère
prospros transmettre
protect protéger
protection protection
protective protecteur
proud fier
proven éprouvé
proves prouve
providence providence
proving prouver
prowess prouesse
prudence prudence
prudent prudent
prudently prudemment
punctual ponctuel
pure pure
purify purifier
purposeful déterminé
quaint pittoresque
qualified qualifié
qualify qualifier
quiet silencieux
radiance éclat
radiant radiant
rapid rapide
rapport rapport
rapt rapt
rapture ravissement
raptureous ravi
raptureously ravi
rapturous enthousiaste
rapturously ravi
rational rationnel
reachable accessible
readable lisible
readily facilement
ready prêt
reaffirm réaffirmer
reaffirmation réaffirmation
realistic réaliste
realizable réalisable
reasonable raisonnable
reasonably raisonnablement
reasoned raisonné
reassurance réconfort
reassure rassurer
receptive réceptif
reclaim réclamer
recomend recommander
recommend recommander
recommendation recommandation
recommendations recommandations
recommended conseillé
reconcile réconcilier
reconciliation réconciliation
recover récupérer
recovery récupération
rectification rectification
rectify rectifier
rectifying rectifiant
redeem racheter
redeeming rachat
redemption rachat
refine affiner
refined raffiné
refinement raffinement
reform réforme
reformed réformé
reforming réformer
refresh rafraîchir
refreshed rafraîchi
refreshing rafraîchissant
refund rembourser
refunded remboursé
regal royal
regally royalement
regard regard
rejoice réjouir
rejoicing réjouissance
rejuvenate rajeunir
rejuvenated rajeuni
rejuvenating rajeunir
relaxed détendu
relent abandonner
reliable fiable
relief relief
relish goût
remarkable remarquable
remarkably remarquablement
remedy remède
remission remise
remunerate rémunérer
renaissance renaissance
renewed renouvelé
renown renommée
renowned renommé
replaceable remplaçable
reputable honorable
reputation réputation
resilient résilient
resolute résolu
resound retentir
resounding retentissant
resourceful ingénieux
resourcefulness ressource
respect respect
respectable respectable
respectful respectueux
respite répit
resplendent resplendissant
responsibly responsable
responsive sensible
restful reposant
restored restauré
restructure restructurer
restructured restructuré
restructuring restructuration
retractable rétractable
revel revel
revelation révélation
revere révérer
reverence révérence
reverent respectueux
reverently respectueusement
revitalize revitaliser
revive relancer
revives ravive
revolutionary révolutionnaire
revolutionize révolutionner
revolutionized révolutionné
revolutionizes révolutionne
reward récompense
rewarding récompense
rewardingly gratifiant
rich riches
richly richement
richness richesse
right droite
righten redresser
righteous vertueux
righteously justement
righteousness droiture
rightful légitime
rightly justement
rightness justesse
robust robuste
rockstars rockstars
romantic romantique
romantically romantique
romanticize romancer
roomy spacieux
rosy rosé
safe sûr
sagacity sagacité
sagely sagement
saint saint
saintliness sainteté
saintly saint
salutary salutaire
salute santé
sane sain
satisfactory satisfaisant
satisfied satisfait
satisfies satisfait
satisfy satisfaire
satisfying satisfaisant
satisified satisfait
saver épargnant
savior Sauveur
savvy averti
scenic scénique
seasoned chevronné
secure garantir
selective sélectif
self-determination autodétermination
self-satisfaction self-satisfaction
self-sufficiency autosuffisance
self-sufficient autosuffisant
sensation sensation
sensational sensationnel
sensationally sensationnellement
sensations sensations
sensible sensible
sensibly sensiblement
sensitive sensible
serene serein
serenity sérénité
sexy sexy
sharp tranchant
shimmering chatoyant
striving s'efforcer
strong fort
stunned étourdi
stunning étourdissant
stunningly étonnamment
stupendous prodigieux
stupendously merveilleusement
sturdy solide
stylish élégant
stylishly élégamment
stylized stylisé
suave lisse
suavely suavement
sublime sublime
subsidize subventionner
subsidized subventionné
subsidizes subventionne
subsidizing subventionnement
substantive substantiel
succeed réussir
succeeded réussi
succeeding réussir
succeeds réussit
succes succès
success Succès
successful réussi
suffice suffire
sufficed suffisait
suffices suffit
sufficient suffisant
sufficiently suffisamment
suitable adapté
sumptuous somptueux
sumptuously somptueusement
super super
superb superbe
superbly superbement
superior supérieur
superiority supériorité
supple souple
support soutien
supporter supporter
supporting justificatif
supportive favorable
supports supports
supremacy suprématie
supreme suprême
supremely suprêmement
supurb banlieue
supurbly superbement
surmount surmonter
surpass dépasser
surreal surréaliste
survival survie
survivor survivant
sustainability durabilité
sustainable durable
swank esbroufe
swanky chic
sweeping balayage
sweet sucré
sweeten sucrer
sweetheart chérie
sweetly gentiment
sweetness douceur
swift rapide
swiftness rapidité
talent talent
talented talentueux
talents talents
tantalize ravir
tantalizing tentant
tantalizingly tentant
tempt tenter
tempting tentant
temptingly tentant
tenacious tenace
tenacity ténacité
tender soumissionner
tenderly tendrement
terrific terrifiant
terrifically terriblement
thank remercier
thankful reconnaissant
thoughtful réfléchi
thoughtfully pensivement
thoughtfulness prévenance
thrift épargne
thrifty économe
thrill frisson
thrilled ravi
thrilling palpitant
thrills frissons
thrive prospérer
thriving prospère
tickle chatouiller
tidy rangé
timely opportun
tingle picotement
titillate titiller
titillating titillant
titillatingly titillatingly
togetherness unité
tolerable tolérable
toll-free gratuit
top Haut
top-notch excellent
topnotch excellent
tops dessus
tough dure
traction traction
tranquil tranquille
tranquility tranquillité
transparent transparent
treasure Trésor
tremendously énormément
trendy branché
triumph triomphe
triumphal triomphal
triumphant triomphant
triumphantly triomphant
trivially trivialement
trophy trophée
trump atout
trumpet trompette
trust confiance
trusting confiant
trustworthiness fiabilité
trusty sûr
truthful véridique
truthfully sincèrement
truthfulness véracité
twinkly scintillant
ultra-crisp ultra-crisp
unassailable inattaquable
unbeatable imbattable
unbiased impartial
unconditional inconditionnel
undaunted intrépide
understandable compréhensible
undisputable incontestable
undisputably incontestablement
undisputed incontesté
unfazed imperturbable
unforgettable inoubliable
unity unité
unlimited illimité
unmatched incomparable
unquestionable incontestable
unreal irréel
unrestricted libre
unselfish généreux
unwavering inébranlable
upbeat optimiste
upgradable évolutif
upgradeable évolutif
upgraded amélioré
upheld confirmé
uphold soutenir
uplift soulèvement
uplifting édifiant
upliftingly édifiant
upliftment élévation
usable utilisable
useable utilisable
useful utile
user-friendly convivial
valiant vaillant
valiantly vaillamment
valor valeur
variety variété
venerate vénérer
verifiable vérifiable
veritable veritable
versatile polyvalent
versatility versatilité
vibrant vibrant
vibrantly vibrant
victorious victorieux
viewable visible
vigilance vigilance
vigilant vigilant
virtue vertu
virtuous vertueux
virtuously vertueusement
visionary visionnaire
vivacious vivace
vivid vif
vouch garant
vouchsafe accorder
warm chaud
warmhearted chaleureux
warmly chaleureusement
warmth chaleur
wealthy riches
welcome Bienvenue
well bien
well-being bien-être
well-wishers bienfaiteurs
wellbeing bien-être
whoa whoa
wholesome sain
whooa whooa
whoooa amusant
wieldy wieldy
willing prêt
willingly volontiers
willingness volonté
win gagner
windfall aubaine
winnable gagnable
winner gagnant
winners gagnants
winning gagnant
wins gagne
wisdom sagesse
wise sage
wisely judicieusement
witty spirituel
wonder merveille
wonderful merveilleux
wonderfully merveilleusement
wonderous merveilleux
wonderously merveilleusement
wonders merveilles
wondrous merveilleux
woo courtiser
work travail
workable réalisable
worked travaillé
works travaux
worth vaut
worthy digne
wow sensationnel
wowed séduit
wowing épater
wows wow
yay printemps
youthful jeune
zeal zèle
zenith zenith
zest zeste
zippy zippy
